Id,Designator,Package,Quantity,Designation,LCSC,Link
1,U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,C14267,https://lcsc.com/product-detail/USB_CH340G_C14267.html/
2,J5,USB_A_Stewart_SS-52100-001_Horizontal,1,USB_A,C2345,https://lcsc.com/product-detail/USB-Connectors_Jing-Extension-of-the-Electronic-Co-C2345_C2345.html
3,PWR,SW_SPST_TL3342,1,SW_PWR,C388295,https://lcsc.com/product-detail/Tactile-Switches_SHOU-HAN-TS5215A-250gf_C388295.html
4,"R5,R4",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,10K,,
5,J1,PinSocket_2x12_P2.54mm_Vertical,1,NanoPi_Core_GPIO2,,
6,J3,PinSocket_2x10_P2.54mm_Vertical,1,NanoPi_Core_GPIO3,,
7,J2,PinSocket_2x12_P2.54mm_Vertical,1,NanoPi_Core_GPIO1,,
8,"H4,H3,H2,H1",MountingHole_3mm,4,MountingHole,,
9,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,12MHz,C9002,https://lcsc.com/product-detail/SMD-Crystal-Resonators_Yangxing-Tech-X322512MSB4SI_C9002.html
10,U3,SOT-23-6_Handsoldering,1,SRV05-4,C85364,https://lcsc.com/product-detail/TVS_SRV05-4-P-T7_C85364.html/
11,U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186,https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_AMS_AMS1117-3-3_AMS1117-3-3_C6186.html
12,"R3,R2,R1",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,330,,
13,J4,USB_Micro-B_GCT_USB3076-30-A,1,USB_B_Micro_DEBUG,C393940,https://lcsc.com/product-detail/USB-Connectors_SHOU-HAN-MICRO5-9mmusb_C393940.html
14,D3,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED_DEBUG_PWR,,
15,D2,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED_DEBUG_RXD,,
16,D1,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED_DEBUG_TXD,,
17,"C5,C4",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,22pF,,
18,C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10uf,,
19,C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,0.1uF,,
20,C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10uF,,
